date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2022-08-09,2330,24370709,12372442661,507.0,511.0,504.0,510.0,-2.0,25433
2022-08-10,2330,22112239,11075581424,500.0,503.0,499.5,500.0,-10.0,35188
2022-08-11,2330,24906177,12771121611,513.0,514.0,510.0,514.0,14.0,23949
2022-08-12,2330,21343450,11016097043,515.0,518.0,514.0,517.0,3.0,21701
2022-08-15,2330,22519886,11755494600,520.0,524.0,519.0,523.0,6.0,27372
2022-08-16,2330,21234122,11141160337,526.0,526.0,523.0,525.0,2.0,20628
2022-08-17,2330,28461939,14943047011,524.0,527.0,521.0,527.0,2.0,26466
2022-08-18,2330,18721898,9734756997,520.0,521.0,519.0,520.0,-7.0,24209
