date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2022-08-09,2331,1502998,32652969,21.85,22.0,21.55,21.6,-0.4,729
2022-08-10,2331,5067706,104801574,21.2,21.2,20.4,20.4,-1.2,2610
2022-08-11,2331,1182149,24499040,20.8,20.9,20.55,20.75,0.35,603
2022-08-12,2331,1695360,35638225,20.9,21.2,20.75,21.2,0.45,699
2022-08-15,2331,7736927,171735196,21.4,22.6,21.3,22.45,1.25,2947
2022-08-16,2331,25998850,622895451,22.45,24.65,22.4,24.65,2.2,8944
2022-08-17,2331,42286650,1063412503,24.95,25.7,24.4,25.7,1.05,15616
2022-08-18,2331,25553249,668357421,25.95,26.55,25.45,26.45,0.75,9970
