date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2012-08-23,0060,2000,56230,28.1,28.13,28.1,28.13,0.0,2
2012-08-24,0060,0,0,0.0,0.0,0.0,0.0,0.0,0
2012-08-27,0060,1000,28150,28.15,28.15,28.15,28.15,0.0,1
2012-08-28,0060,6000,166430,28.15,28.15,27.5,27.58,-0.57,6
2012-08-29,0060,0,0,0.0,0.0,0.0,0.0,0.0,0
2012-08-30,0060,0,0,0.0,0.0,0.0,0.0,0.0,0
2012-08-31,0060,0,0,0.0,0.0,0.0,0.0,0.0,0
2012-09-03,0060,4000,107310,26.95,26.95,26.77,26.79,0.0,4
2012-09-04,0060,6000,161820,26.9,27.3,26.83,27.1,0.31,6
2012-09-05,0060,0,0,0.0,0.0,0.0,0.0,0.0,0
2012-09-06,0060,0,0,0.0,0.0,0.0,0.0,0.0,0
2012-09-07,0060,6000,163400,27.0,27.4,27.0,27.4,0.0,6
2012-09-10,0060,0,0,0.0,0.0,0.0,0.0,0.0,0
2012-09-11,0060,2000,54200,27.4,27.4,26.8,26.8,0.0,2
2012-09-12,0060,6000,165700,27.9,27.9,27.56,27.56,0.76,3
2012-09-13,0060,1000,27990,27.99,27.99,27.99,27.99,0.43,1
2012-09-14,0060,7000,193300,27.51,28.05,27.51,28.05,0.06,3
2012-09-17,0060,4000,112150,27.98,28.21,27.98,28.21,0.16,3
2012-09-18,0060,7000,196760,27.85,28.5,27.85,28.1,-0.11,6
2012-09-19,0060,21000,587980,27.86,28.27,27.62,27.74,-0.36,20
2012-09-20,0060,9000,251530,27.76,28.28,27.76,28.28,0.54,7
2012-09-21,0060,6000,169020,28.17,28.17,28.17,28.17,-0.11,1
2012-09-24,0060,1000,28210,28.21,28.21,28.21,28.21,0.04,1
2012-09-25,0060,2000,56780,28.39,28.39,28.39,28.39,0.18,2
2012-09-26,0060,0,0,0.0,0.0,0.0,0.0,0.0,0
2012-09-27,0060,5000,141920,28.3,28.5,28.3,28.5,0.0,5
2012-09-28,0060,10000,275570,27.71,28.2,27.24,28.2,-0.3,8
2012-10-01,0060,0,0,0.0,0.0,0.0,0.0,0.0,0
2012-10-02,0060,0,0,0.0,0.0,0.0,0.0,0.0,0
2012-10-03,0060,2301,64647,28.19,28.19,28.15,28.15,0.0,3
2012-10-04,0060,78000,2156980,27.65,27.98,27.6,27.98,-0.17,4
2012-10-05,0060,3000,83980,27.98,28.0,27.98,28.0,0.02,2
2012-10-08,0060,0,0,0.0,0.0,0.0,0.0,0.0,0
2012-10-09,0060,6000,168230,27.97,28.3,27.97,28.3,0.0,6
2012-10-11,0060,2000,55000,27.5,27.5,27.5,27.5,-0.8,2
2012-10-12,0060,1000,27700,27.7,27.7,27.7,27.7,0.2,1
2012-10-15,0060,2000,54400,27.2,27.2,27.2,27.2,-0.5,2
2012-10-16,0060,1000,27980,27.98,27.98,27.98,27.98,0.78,1
