date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2022-08-09,0056,15374825,445016850,28.85,29.09,28.73,29.07,0.2,7877
2022-08-10,0056,21114714,608843343,28.82,28.91,28.77,28.81,-0.26,12423
2022-08-11,0056,16406795,477649726,29.08,29.15,29.06,29.12,0.31,7696
2022-08-12,0056,11430658,333942846,29.14,29.3,29.11,29.3,0.18,6357
2022-08-15,0056,22996317,671468108,29.32,29.32,29.11,29.22,-0.08,14583
2022-08-16,0056,18022640,525791708,29.21,29.25,29.11,29.24,0.02,12469
2022-08-17,0056,10449040,305361350,29.23,29.28,29.16,29.28,0.04,6313
2022-08-18,0056,11971122,349085241,29.19,29.29,29.08,29.29,0.01,7290
